Fecha,DIALLU0.1,HUMCALH,HUMCALMAXD,HUMCALMIND,HUMSUEPROF1MTS,HUMAIR2MTSH,HUMSUE20CMH,PREACU2MIN,PREINT30MIN,TEMSUE10CM
2018-10-16 07:00:00,0,93,93,56,9.8,7,19.6,10.4,0,10.4
2018-10-22 07:00:00,1,93,93,37,9.2,7,20.4,9.8,4.2,12
2018-10-23 07:00:00,0,96,96,60,12.4,11.2,22,12.8,0,13.8
2018-10-24 07:00:00,1,96,96,56,11,8.2,21.2,11.4,5,12.8
2018-10-25 07:00:00,1,94,94,51,11.8,10,21.4,12.4,1.2,12.2
2018-10-26 07:00:00,1,93,93,69,10.4,10.2,18.8,11,1.4,11.6
2018-10-29 07:00:00,0,91,91,53,10.4,7.2,19.4,11.2,0,12
2018-10-30 07:00:00,0,93,93,64,8,6,19.8,8.6,0,12.2
2018-10-31 07:00:00,0,95,95,55,8,6.2,18.6,8.4,0,10
2018-11-01 07:00:00,0,91,91,56,10.6,8.2,19,11.4,0,12.8
2018-11-02 07:00:00,0,96,96,51,10.8,8.6,19.6,11.2,0,11
2018-11-06 07:00:00,1,93,93,64,11,6.8,21.2,11.6,1.3,11.6
2018-11-07 07:00:00,1,94,94,57,11.8,11.2,20.4,12.4,1.5,12.2
2018-11-08 07:00:00,1,91,91,50,9.2,8,22,10,11.4,11.8
2018-11-09 07:00:00,1,94,94,64,11.8,10.2,18.2,12.4,4.8,12.4
2018-11-13 07:00:00,0,93,93,54,9.8,8,19.2,10.4,0,10.8
2018-11-14 07:00:00,1,95,95,47,8.4,6.8,23,8.8,8.4,8.8
2018-11-15 07:00:00,0,90,90,59,7.6,6.6,23.2,8.4,0,7.8
2018-11-16 07:00:00,1,96,96,48,12.4,8.6,21.4,12.8,1.6,12.8
2018-11-20 07:00:00,0,91,91,60,11.4,9.6,21.6,12.2,0,12.8
2018-11-21 07:00:00,0,95,95,49,9,8.2,21.2,9.4,0,11.8
2018-11-22 07:00:00,1,91,91,55,11.4,10.4,22.4,12.2,41.6,12.4
2018-11-23 07:00:00,1,96,96,55,12.6,11.8,22,13,0.5,13.2
2018-11-26 07:00:00,0,93,93,58,9.4,8.6,22,10,0,12.4
2018-11-27 07:00:00,1,95,95,58,8.2,7.4,20,8.6,9.2,8.8
2018-11-28 07:00:00,1,94,94,59,11.6,9.2,19.2,12.2,0.6,12.2
2018-11-29 07:00:00,0,96,96,53,11.2,8,21.8,11.6,0,8.6
2018-11-30 07:00:00,1,94,94,69,12,11.4,20.2,12.6,8.6,12.8
2019-02-01 07:00:00,1,93,93,42,9.8,7.6,23.8,10.4,1.5,10
2019-02-04 07:00:00,1,90,90,57,6,4.8,21.2,6.8,4.6,11
2019-02-05 07:00:00,1,91,91,64,9.4,6.6,20.4,10.2,0.6,10
2019-02-06 07:00:00,0,91,91,55,8.8,7,20,9.6,0,9.8
2019-02-07 07:00:00,0,91,91,59,9.8,8.2,21,10.6,0,10.2
2019-02-08 07:00:00,1,91,91,60,11,10.2,20.4,11.8,1.3,11.2
2019-02-11 07:00:00,0,95,95,44,7.2,7,23,7.6,0,12.6
2019-02-12 07:00:00,0,90,90,45,5.4,5.2,22.4,6.2,0,7.4
